,from,to,pathway,type
973,WNT10A,FZD10_LRP6,WNT,Secreted Signaling
974,WNT10A,FZD10,WNT,Secreted Signaling
975,WNT10A,LRP6,WNT,Secreted Signaling
976,WNT10A,FZD2_LRP6,WNT,Secreted Signaling
977,WNT10A,FZD2,WNT,Secreted Signaling
978,WNT10A,LRP6,WNT,Secreted Signaling
979,WNT10A,FZD3_LRP6,WNT,Secreted Signaling
980,WNT10A,FZD3,WNT,Secreted Signaling
981,WNT10A,LRP6,WNT,Secreted Signaling
982,WNT10A,FZD4_LRP6,WNT,Secreted Signaling
983,WNT10A,FZD4,WNT,Secreted Signaling
984,WNT10A,LRP6,WNT,Secreted Signaling
985,WNT10A,FZD5_LRP6,WNT,Secreted Signaling
986,WNT10A,FZD5,WNT,Secreted Signaling
987,WNT10A,LRP6,WNT,Secreted Signaling
988,WNT10A,FZD6_LRP6,WNT,Secreted Signaling
989,WNT10A,FZD6,WNT,Secreted Signaling
990,WNT10A,LRP6,WNT,Secreted Signaling
991,WNT10A,FZD7_LRP6,WNT,Secreted Signaling
992,WNT10A,FZD7,WNT,Secreted Signaling
993,WNT10A,LRP6,WNT,Secreted Signaling
994,WNT10A,FZD8_LRP6,WNT,Secreted Signaling
995,WNT10A,FZD8,WNT,Secreted Signaling
996,WNT10A,LRP6,WNT,Secreted Signaling
997,WNT10A,FZD9_LRP6,WNT,Secreted Signaling
998,WNT10A,FZD9,WNT,Secreted Signaling
999,WNT10A,LRP6,WNT,Secreted Signaling
1000,WNT10B,FZD1_LRP6,WNT,Secreted Signaling
1001,WNT10B,FZD1,WNT,Secreted Signaling
1002,WNT10B,LRP6,WNT,Secreted Signaling
1003,WNT10B,FZD10_LRP6,WNT,Secreted Signaling
1004,WNT10B,FZD10,WNT,Secreted Signaling
1005,WNT10B,LRP6,WNT,Secreted Signaling
1006,WNT10B,FZD2_LRP6,WNT,Secreted Signaling
1007,WNT10B,FZD2,WNT,Secreted Signaling
1008,WNT10B,LRP6,WNT,Secreted Signaling
1009,WNT10B,FZD3_LRP6,WNT,Secreted Signaling
1010,WNT10B,FZD3,WNT,Secreted Signaling
1011,WNT10B,LRP6,WNT,Secreted Signaling
1012,WNT10B,FZD4_LRP6,WNT,Secreted Signaling
1013,WNT10B,FZD4,WNT,Secreted Signaling
1014,WNT10B,LRP6,WNT,Secreted Signaling
1015,WNT10B,FZD5_LRP6,WNT,Secreted Signaling
1016,WNT10B,FZD5,WNT,Secreted Signaling
1017,WNT10B,LRP6,WNT,Secreted Signaling
1018,WNT10B,FZD6_LRP6,WNT,Secreted Signaling
1019,WNT10B,FZD6,WNT,Secreted Signaling
1020,WNT10B,LRP6,WNT,Secreted Signaling
1021,WNT10B,FZD7_LRP6,WNT,Secreted Signaling
1022,WNT10B,FZD7,WNT,Secreted Signaling
1023,WNT10B,LRP6,WNT,Secreted Signaling
1024,WNT10B,FZD8_LRP6,WNT,Secreted Signaling
1025,WNT10B,FZD8,WNT,Secreted Signaling
1026,WNT10B,LRP6,WNT,Secreted Signaling
1027,WNT10B,FZD9_LRP6,WNT,Secreted Signaling
1028,WNT10B,FZD9,WNT,Secreted Signaling
1029,WNT10B,LRP6,WNT,Secreted Signaling
1030,WNT16,FZD1_LRP6,WNT,Secreted Signaling
1031,WNT16,FZD1,WNT,Secreted Signaling
1032,WNT16,LRP6,WNT,Secreted Signaling
1033,WNT16,FZD10_LRP6,WNT,Secreted Signaling
1034,WNT16,FZD10,WNT,Secreted Signaling
1035,WNT16,LRP6,WNT,Secreted Signaling
1036,WNT16,FZD2_LRP6,WNT,Secreted Signaling
1037,WNT16,FZD2,WNT,Secreted Signaling
1038,WNT16,LRP6,WNT,Secreted Signaling
1039,WNT16,FZD3_LRP6,WNT,Secreted Signaling
1040,WNT16,FZD3,WNT,Secreted Signaling
1041,WNT16,LRP6,WNT,Secreted Signaling
1042,WNT16,FZD4_LRP6,WNT,Secreted Signaling
1043,WNT16,FZD4,WNT,Secreted Signaling
1044,WNT16,LRP6,WNT,Secreted Signaling
1045,WNT16,FZD5_LRP6,WNT,Secreted Signaling
1046,WNT16,FZD5,WNT,Secreted Signaling
1047,WNT16,LRP6,WNT,Secreted Signaling
1048,WNT16,FZD6_LRP6,WNT,Secreted Signaling
1049,WNT16,FZD6,WNT,Secreted Signaling
1050,WNT16,LRP6,WNT,Secreted Signaling
1051,WNT16,FZD7_LRP6,WNT,Secreted Signaling
1052,WNT16,FZD7,WNT,Secreted Signaling
1053,WNT16,LRP6,WNT,Secreted Signaling
1054,WNT16,FZD8_LRP6,WNT,Secreted Signaling
1055,WNT16,FZD8,WNT,Secreted Signaling
1056,WNT16,LRP6,WNT,Secreted Signaling
1057,WNT16,FZD9_LRP6,WNT,Secreted Signaling
1058,WNT16,FZD9,WNT,Secreted Signaling
1059,WNT16,LRP6,WNT,Secreted Signaling
1060,WNT2,FZD1_LRP6,WNT,Secreted Signaling
1061,WNT2,FZD1,WNT,Secreted Signaling
1062,WNT2,LRP6,WNT,Secreted Signaling
1063,WNT2,FZD10_LRP6,WNT,Secreted Signaling
1064,WNT2,FZD10,WNT,Secreted Signaling
1065,WNT2,LRP6,WNT,Secreted Signaling
1066,WNT2,FZD2_LRP6,WNT,Secreted Signaling
1067,WNT2,FZD2,WNT,Secreted Signaling
1068,WNT2,LRP6,WNT,Secreted Signaling
1069,WNT2,FZD3_LRP6,WNT,Secreted Signaling
1070,WNT2,FZD3,WNT,Secreted Signaling
1071,WNT2,LRP6,WNT,Secreted Signaling
1072,WNT2,FZD4_LRP6,WNT,Secreted Signaling
1073,WNT2,FZD4,WNT,Secreted Signaling
1074,WNT2,LRP6,WNT,Secreted Signaling
1075,WNT2,FZD5_LRP6,WNT,Secreted Signaling
1076,WNT2,FZD5,WNT,Secreted Signaling
1077,WNT2,LRP6,WNT,Secreted Signaling
1078,WNT2,FZD6_LRP6,WNT,Secreted Signaling
1079,WNT2,FZD6,WNT,Secreted Signaling
1080,WNT2,LRP6,WNT,Secreted Signaling
1081,WNT2,FZD7_LRP6,WNT,Secreted Signaling
1082,WNT2,FZD7,WNT,Secreted Signaling
1083,WNT2,LRP6,WNT,Secreted Signaling
1084,WNT2,FZD8_LRP6,WNT,Secreted Signaling
1085,WNT2,FZD8,WNT,Secreted Signaling
1086,WNT2,LRP6,WNT,Secreted Signaling
1087,WNT2,FZD9_LRP6,WNT,Secreted Signaling
1088,WNT2,FZD9,WNT,Secreted Signaling
1089,WNT2,LRP6,WNT,Secreted Signaling
1090,WNT2B,FZD1_LRP6,WNT,Secreted Signaling
1091,WNT2B,FZD1,WNT,Secreted Signaling
1092,WNT2B,LRP6,WNT,Secreted Signaling
1093,WNT2B,FZD10_LRP6,WNT,Secreted Signaling
1094,WNT2B,FZD10,WNT,Secreted Signaling
1095,WNT2B,LRP6,WNT,Secreted Signaling
1096,WNT2B,FZD2_LRP6,WNT,Secreted Signaling
1097,WNT2B,FZD2,WNT,Secreted Signaling
1098,WNT2B,LRP6,WNT,Secreted Signaling
1099,WNT2B,FZD3_LRP6,WNT,Secreted Signaling
1100,WNT2B,FZD3,WNT,Secreted Signaling
1101,WNT2B,LRP6,WNT,Secreted Signaling
1102,WNT2B,FZD4_LRP6,WNT,Secreted Signaling
1103,WNT2B,FZD4,WNT,Secreted Signaling
1104,WNT2B,LRP6,WNT,Secreted Signaling
1105,WNT2B,FZD5_LRP6,WNT,Secreted Signaling
1106,WNT2B,FZD5,WNT,Secreted Signaling
1107,WNT2B,LRP6,WNT,Secreted Signaling
1108,WNT2B,FZD6_LRP6,WNT,Secreted Signaling
1109,WNT2B,FZD6,WNT,Secreted Signaling
1110,WNT2B,LRP6,WNT,Secreted Signaling
1111,WNT2B,FZD7_LRP6,WNT,Secreted Signaling
1112,WNT2B,FZD7,WNT,Secreted Signaling
1113,WNT2B,LRP6,WNT,Secreted Signaling
1114,WNT2B,FZD8_LRP6,WNT,Secreted Signaling
1115,WNT2B,FZD8,WNT,Secreted Signaling
1116,WNT2B,LRP6,WNT,Secreted Signaling
1117,WNT2B,FZD9_LRP6,WNT,Secreted Signaling
1118,WNT2B,FZD9,WNT,Secreted Signaling
1119,WNT2B,LRP6,WNT,Secreted Signaling
1120,WNT3,FZD1_LRP6,WNT,Secreted Signaling
1121,WNT3,FZD1,WNT,Secreted Signaling
1122,WNT3,LRP6,WNT,Secreted Signaling
1123,WNT3,FZD10_LRP6,WNT,Secreted Signaling
1124,WNT3,FZD10,WNT,Secreted Signaling
1125,WNT3,LRP6,WNT,Secreted Signaling
1126,WNT3,FZD2_LRP6,WNT,Secreted Signaling
1127,WNT3,FZD2,WNT,Secreted Signaling
1128,WNT3,LRP6,WNT,Secreted Signaling
1129,WNT3,FZD3_LRP6,WNT,Secreted Signaling
1130,WNT3,FZD3,WNT,Secreted Signaling
1131,WNT3,LRP6,WNT,Secreted Signaling
1132,WNT3,FZD4_LRP6,WNT,Secreted Signaling
1133,WNT3,FZD4,WNT,Secreted Signaling
1134,WNT3,LRP6,WNT,Secreted Signaling
1135,WNT3,FZD5_LRP6,WNT,Secreted Signaling
1136,WNT3,FZD5,WNT,Secreted Signaling
1137,WNT3,LRP6,WNT,Secreted Signaling
1138,WNT3,FZD6_LRP6,WNT,Secreted Signaling
1139,WNT3,FZD6,WNT,Secreted Signaling
1140,WNT3,LRP6,WNT,Secreted Signaling
1141,WNT3,FZD7_LRP6,WNT,Secreted Signaling
1142,WNT3,FZD7,WNT,Secreted Signaling
1143,WNT3,LRP6,WNT,Secreted Signaling
1144,WNT3,FZD8_LRP6,WNT,Secreted Signaling
1145,WNT3,FZD8,WNT,Secreted Signaling
1146,WNT3,LRP6,WNT,Secreted Signaling
1147,WNT3,FZD9_LRP6,WNT,Secreted Signaling
1148,WNT3,FZD9,WNT,Secreted Signaling
1149,WNT3,LRP6,WNT,Secreted Signaling
1150,WNT3A,FZD1_LRP6,WNT,Secreted Signaling
1151,WNT3A,FZD1,WNT,Secreted Signaling
1152,WNT3A,LRP6,WNT,Secreted Signaling
1153,WNT3A,FZD10_LRP6,WNT,Secreted Signaling
1154,WNT3A,FZD10,WNT,Secreted Signaling
1155,WNT3A,LRP6,WNT,Secreted Signaling
1156,WNT3A,FZD2_LRP6,WNT,Secreted Signaling
1157,WNT3A,FZD2,WNT,Secreted Signaling
1158,WNT3A,LRP6,WNT,Secreted Signaling
1159,WNT3A,FZD3_LRP6,WNT,Secreted Signaling
1160,WNT3A,FZD3,WNT,Secreted Signaling
1161,WNT3A,LRP6,WNT,Secreted Signaling
1162,WNT3A,FZD4_LRP6,WNT,Secreted Signaling
1163,WNT3A,FZD4,WNT,Secreted Signaling
1164,WNT3A,LRP6,WNT,Secreted Signaling
1165,WNT3A,FZD5_LRP6,WNT,Secreted Signaling
1166,WNT3A,FZD5,WNT,Secreted Signaling
1167,WNT3A,LRP6,WNT,Secreted Signaling
1168,WNT3A,FZD6_LRP6,WNT,Secreted Signaling
1169,WNT3A,FZD6,WNT,Secreted Signaling
1170,WNT3A,LRP6,WNT,Secreted Signaling
1171,WNT3A,FZD7_LRP6,WNT,Secreted Signaling
1172,WNT3A,FZD7,WNT,Secreted Signaling
1173,WNT3A,LRP6,WNT,Secreted Signaling
1174,WNT3A,FZD8_LRP6,WNT,Secreted Signaling
1175,WNT3A,FZD8,WNT,Secreted Signaling
1176,WNT3A,LRP6,WNT,Secreted Signaling
1177,WNT3A,FZD9_LRP6,WNT,Secreted Signaling
1178,WNT3A,FZD9,WNT,Secreted Signaling
1179,WNT3A,LRP6,WNT,Secreted Signaling
1180,WNT4,FZD1_LRP6,WNT,Secreted Signaling
1181,WNT4,FZD1,WNT,Secreted Signaling
1182,WNT4,LRP6,WNT,Secreted Signaling
1183,WNT4,FZD10_LRP6,WNT,Secreted Signaling
1184,WNT4,FZD10,WNT,Secreted Signaling
1185,WNT4,LRP6,WNT,Secreted Signaling
1186,WNT4,FZD2_LRP6,WNT,Secreted Signaling
1187,WNT4,FZD2,WNT,Secreted Signaling
1188,WNT4,LRP6,WNT,Secreted Signaling
1189,WNT4,FZD3_LRP6,WNT,Secreted Signaling
1190,WNT4,FZD3,WNT,Secreted Signaling
1191,WNT4,LRP6,WNT,Secreted Signaling
1192,WNT4,FZD4_LRP6,WNT,Secreted Signaling
1193,WNT4,FZD4,WNT,Secreted Signaling
1194,WNT4,LRP6,WNT,Secreted Signaling
1195,WNT4,FZD5_LRP6,WNT,Secreted Signaling
1196,WNT4,FZD5,WNT,Secreted Signaling
1197,WNT4,LRP6,WNT,Secreted Signaling
1198,WNT4,FZD6_LRP6,WNT,Secreted Signaling
1199,WNT4,FZD6,WNT,Secreted Signaling
1200,WNT4,LRP6,WNT,Secreted Signaling
1201,WNT4,FZD7_LRP6,WNT,Secreted Signaling
1202,WNT4,FZD7,WNT,Secreted Signaling
1203,WNT4,LRP6,WNT,Secreted Signaling
1204,WNT4,FZD8_LRP6,WNT,Secreted Signaling
1205,WNT4,FZD8,WNT,Secreted Signaling
1206,WNT4,LRP6,WNT,Secreted Signaling
1207,WNT4,FZD9_LRP6,WNT,Secreted Signaling
1208,WNT4,FZD9,WNT,Secreted Signaling
1209,WNT4,LRP6,WNT,Secreted Signaling
1210,WNT6,FZD1_LRP6,WNT,Secreted Signaling
1211,WNT6,FZD1,WNT,Secreted Signaling
1212,WNT6,LRP6,WNT,Secreted Signaling
1213,WNT6,FZD10_LRP6,WNT,Secreted Signaling
1214,WNT6,FZD10,WNT,Secreted Signaling
1215,WNT6,LRP6,WNT,Secreted Signaling
1216,WNT6,FZD2_LRP6,WNT,Secreted Signaling
1217,WNT6,FZD2,WNT,Secreted Signaling
1218,WNT6,LRP6,WNT,Secreted Signaling
1219,WNT6,FZD3_LRP6,WNT,Secreted Signaling
1220,WNT6,FZD3,WNT,Secreted Signaling
1221,WNT6,LRP6,WNT,Secreted Signaling
1222,WNT6,FZD4_LRP6,WNT,Secreted Signaling
1223,WNT6,FZD4,WNT,Secreted Signaling
1224,WNT6,LRP6,WNT,Secreted Signaling
1225,WNT6,FZD5_LRP6,WNT,Secreted Signaling
1226,WNT6,FZD5,WNT,Secreted Signaling
1227,WNT6,LRP6,WNT,Secreted Signaling
1228,WNT6,FZD6_LRP6,WNT,Secreted Signaling
1229,WNT6,FZD6,WNT,Secreted Signaling
1230,WNT6,LRP6,WNT,Secreted Signaling
1231,WNT6,FZD7_LRP6,WNT,Secreted Signaling
1232,WNT6,FZD7,WNT,Secreted Signaling
1233,WNT6,LRP6,WNT,Secreted Signaling
1234,WNT6,FZD8_LRP6,WNT,Secreted Signaling
1235,WNT6,FZD8,WNT,Secreted Signaling
1236,WNT6,LRP6,WNT,Secreted Signaling
1237,WNT6,FZD9_LRP6,WNT,Secreted Signaling
1238,WNT6,FZD9,WNT,Secreted Signaling
1239,WNT6,LRP6,WNT,Secreted Signaling
1240,WNT7A,FZD1_LRP6,WNT,Secreted Signaling
1241,WNT7A,FZD1,WNT,Secreted Signaling
1242,WNT7A,LRP6,WNT,Secreted Signaling
1243,WNT7A,FZD10_LRP6,WNT,Secreted Signaling
1244,WNT7A,FZD10,WNT,Secreted Signaling
1245,WNT7A,LRP6,WNT,Secreted Signaling
1246,WNT7A,FZD2_LRP6,WNT,Secreted Signaling
1247,WNT7A,FZD2,WNT,Secreted Signaling
1248,WNT7A,LRP6,WNT,Secreted Signaling
1249,WNT7A,FZD3_LRP6,WNT,Secreted Signaling
1250,WNT7A,FZD3,WNT,Secreted Signaling
1251,WNT7A,LRP6,WNT,Secreted Signaling
1252,WNT7A,FZD4_LRP6,WNT,Secreted Signaling
1253,WNT7A,FZD4,WNT,Secreted Signaling
1254,WNT7A,LRP6,WNT,Secreted Signaling
1255,WNT7A,FZD5_LRP6,WNT,Secreted Signaling
1256,WNT7A,FZD5,WNT,Secreted Signaling
1257,WNT7A,LRP6,WNT,Secreted Signaling
1258,WNT7A,FZD6_LRP6,WNT,Secreted Signaling
1259,WNT7A,FZD6,WNT,Secreted Signaling
1260,WNT7A,LRP6,WNT,Secreted Signaling
1261,WNT7A,FZD7_LRP6,WNT,Secreted Signaling
1262,WNT7A,FZD7,WNT,Secreted Signaling
1263,WNT7A,LRP6,WNT,Secreted Signaling
1264,WNT7A,FZD8_LRP6,WNT,Secreted Signaling
1265,WNT7A,FZD8,WNT,Secreted Signaling
1266,WNT7A,LRP6,WNT,Secreted Signaling
1267,WNT7A,FZD9_LRP6,WNT,Secreted Signaling
1268,WNT7A,FZD9,WNT,Secreted Signaling
1269,WNT7A,LRP6,WNT,Secreted Signaling
1270,WNT7B,FZD1_LRP6,WNT,Secreted Signaling
1271,WNT7B,FZD1,WNT,Secreted Signaling
1272,WNT7B,LRP6,WNT,Secreted Signaling
1273,WNT7B,FZD10_LRP6,WNT,Secreted Signaling
1274,WNT7B,FZD10,WNT,Secreted Signaling
1275,WNT7B,LRP6,WNT,Secreted Signaling
1276,WNT7B,FZD2_LRP6,WNT,Secreted Signaling
1277,WNT7B,FZD2,WNT,Secreted Signaling
1278,WNT7B,LRP6,WNT,Secreted Signaling
1279,WNT7B,FZD3_LRP6,WNT,Secreted Signaling
1280,WNT7B,FZD3,WNT,Secreted Signaling
1281,WNT7B,LRP6,WNT,Secreted Signaling
1282,WNT7B,FZD4_LRP6,WNT,Secreted Signaling
1283,WNT7B,FZD4,WNT,Secreted Signaling
1284,WNT7B,LRP6,WNT,Secreted Signaling
1285,WNT7B,FZD5_LRP6,WNT,Secreted Signaling
1286,WNT7B,FZD5,WNT,Secreted Signaling
1287,WNT7B,LRP6,WNT,Secreted Signaling
1288,WNT7B,FZD6_LRP6,WNT,Secreted Signaling
1289,WNT7B,FZD6,WNT,Secreted Signaling
1290,WNT7B,LRP6,WNT,Secreted Signaling
1291,WNT7B,FZD7_LRP6,WNT,Secreted Signaling
1292,WNT7B,FZD7,WNT,Secreted Signaling
1293,WNT7B,LRP6,WNT,Secreted Signaling
1294,WNT7B,FZD8_LRP6,WNT,Secreted Signaling
1295,WNT7B,FZD8,WNT,Secreted Signaling
1296,WNT7B,LRP6,WNT,Secreted Signaling
1297,WNT7B,FZD9_LRP6,WNT,Secreted Signaling
1298,WNT7B,FZD9,WNT,Secreted Signaling
1299,WNT7B,LRP6,WNT,Secreted Signaling
1300,WNT8A,FZD1_LRP6,WNT,Secreted Signaling
1301,WNT8A,FZD1,WNT,Secreted Signaling
1302,WNT8A,LRP6,WNT,Secreted Signaling
1303,WNT8A,FZD10_LRP6,WNT,Secreted Signaling
1304,WNT8A,FZD10,WNT,Secreted Signaling
1305,WNT8A,LRP6,WNT,Secreted Signaling
1306,WNT8A,FZD2_LRP6,WNT,Secreted Signaling
1307,WNT8A,FZD2,WNT,Secreted Signaling
1308,WNT8A,LRP6,WNT,Secreted Signaling
1309,WNT8A,FZD3_LRP6,WNT,Secreted Signaling
1310,WNT8A,FZD3,WNT,Secreted Signaling
1311,WNT8A,LRP6,WNT,Secreted Signaling
1312,WNT8A,FZD4_LRP6,WNT,Secreted Signaling
1313,WNT8A,FZD4,WNT,Secreted Signaling
1314,WNT8A,LRP6,WNT,Secreted Signaling
1315,WNT8A,FZD5_LRP6,WNT,Secreted Signaling
1316,WNT8A,FZD5,WNT,Secreted Signaling
1317,WNT8A,LRP6,WNT,Secreted Signaling
1318,WNT8A,FZD6_LRP6,WNT,Secreted Signaling
1319,WNT8A,FZD6,WNT,Secreted Signaling
1320,WNT8A,LRP6,WNT,Secreted Signaling
1321,WNT8A,FZD7_LRP6,WNT,Secreted Signaling
1322,WNT8A,FZD7,WNT,Secreted Signaling
1323,WNT8A,LRP6,WNT,Secreted Signaling
1324,WNT8A,FZD8_LRP6,WNT,Secreted Signaling
1325,WNT8A,FZD8,WNT,Secreted Signaling
1326,WNT8A,LRP6,WNT,Secreted Signaling
1327,WNT8A,FZD9_LRP6,WNT,Secreted Signaling
1328,WNT8A,FZD9,WNT,Secreted Signaling
1329,WNT8A,LRP6,WNT,Secreted Signaling
1330,WNT8B,FZD1_LRP6,WNT,Secreted Signaling
1331,WNT8B,FZD1,WNT,Secreted Signaling
1332,WNT8B,LRP6,WNT,Secreted Signaling
1333,WNT8B,FZD10_LRP6,WNT,Secreted Signaling
1334,WNT8B,FZD10,WNT,Secreted Signaling
1335,WNT8B,LRP6,WNT,Secreted Signaling
1336,WNT8B,FZD2_LRP6,WNT,Secreted Signaling
1337,WNT8B,FZD2,WNT,Secreted Signaling
1338,WNT8B,LRP6,WNT,Secreted Signaling
1339,WNT8B,FZD3_LRP6,WNT,Secreted Signaling
1340,WNT8B,FZD3,WNT,Secreted Signaling
1341,WNT8B,LRP6,WNT,Secreted Signaling
1342,WNT8B,FZD4_LRP6,WNT,Secreted Signaling
1343,WNT8B,FZD4,WNT,Secreted Signaling
1344,WNT8B,LRP6,WNT,Secreted Signaling
1345,WNT8B,FZD5_LRP6,WNT,Secreted Signaling
1346,WNT8B,FZD5,WNT,Secreted Signaling
1347,WNT8B,LRP6,WNT,Secreted Signaling
1348,WNT8B,FZD6_LRP6,WNT,Secreted Signaling
1349,WNT8B,FZD6,WNT,Secreted Signaling
1350,WNT8B,LRP6,WNT,Secreted Signaling
1351,WNT8B,FZD7_LRP6,WNT,Secreted Signaling
1352,WNT8B,FZD7,WNT,Secreted Signaling
1353,WNT8B,LRP6,WNT,Secreted Signaling
1354,WNT8B,FZD8_LRP6,WNT,Secreted Signaling
1355,WNT8B,FZD8,WNT,Secreted Signaling
1356,WNT8B,LRP6,WNT,Secreted Signaling
1357,WNT8B,FZD9_LRP6,WNT,Secreted Signaling
1358,WNT8B,FZD9,WNT,Secreted Signaling
1359,WNT8B,LRP6,WNT,Secreted Signaling
1360,WNT9A,FZD1_LRP6,WNT,Secreted Signaling
1361,WNT9A,FZD1,WNT,Secreted Signaling
1362,WNT9A,LRP6,WNT,Secreted Signaling
1363,WNT9A,FZD10_LRP6,WNT,Secreted Signaling
1364,WNT9A,FZD10,WNT,Secreted Signaling
1365,WNT9A,LRP6,WNT,Secreted Signaling
1366,WNT9A,FZD2_LRP6,WNT,Secreted Signaling
1367,WNT9A,FZD2,WNT,Secreted Signaling
1368,WNT9A,LRP6,WNT,Secreted Signaling
1369,WNT9A,FZD3_LRP6,WNT,Secreted Signaling
1370,WNT9A,FZD3,WNT,Secreted Signaling
1371,WNT9A,LRP6,WNT,Secreted Signaling
1372,WNT9A,FZD4_LRP6,WNT,Secreted Signaling
1373,WNT9A,FZD4,WNT,Secreted Signaling
1374,WNT9A,LRP6,WNT,Secreted Signaling
1375,WNT9A,FZD5_LRP6,WNT,Secreted Signaling
1376,WNT9A,FZD5,WNT,Secreted Signaling
1377,WNT9A,LRP6,WNT,Secreted Signaling
1378,WNT9A,FZD6_LRP6,WNT,Secreted Signaling
1379,WNT9A,FZD6,WNT,Secreted Signaling
1380,WNT9A,LRP6,WNT,Secreted Signaling
1381,WNT9A,FZD7_LRP6,WNT,Secreted Signaling
1382,WNT9A,FZD7,WNT,Secreted Signaling
1383,WNT9A,LRP6,WNT,Secreted Signaling
1384,WNT9A,FZD8_LRP6,WNT,Secreted Signaling
1385,WNT9A,FZD8,WNT,Secreted Signaling
1386,WNT9A,LRP6,WNT,Secreted Signaling
1387,WNT9A,FZD9_LRP6,WNT,Secreted Signaling
1388,WNT9A,FZD9,WNT,Secreted Signaling
1389,WNT9A,LRP6,WNT,Secreted Signaling
1390,WNT9B,FZD1_LRP6,WNT,Secreted Signaling
1391,WNT9B,FZD1,WNT,Secreted Signaling
1392,WNT9B,LRP6,WNT,Secreted Signaling
1393,WNT9B,FZD10_LRP6,WNT,Secreted Signaling
1394,WNT9B,FZD10,WNT,Secreted Signaling
1395,WNT9B,LRP6,WNT,Secreted Signaling
1396,WNT9B,FZD2_LRP6,WNT,Secreted Signaling
1397,WNT9B,FZD2,WNT,Secreted Signaling
1398,WNT9B,LRP6,WNT,Secreted Signaling
1399,WNT9B,FZD3_LRP6,WNT,Secreted Signaling
1400,WNT9B,FZD3,WNT,Secreted Signaling
1401,WNT9B,LRP6,WNT,Secreted Signaling
1402,WNT9B,FZD4_LRP6,WNT,Secreted Signaling
1403,WNT9B,FZD4,WNT,Secreted Signaling
1404,WNT9B,LRP6,WNT,Secreted Signaling
1405,WNT9B,FZD5_LRP6,WNT,Secreted Signaling
1406,WNT9B,FZD5,WNT,Secreted Signaling
1407,WNT9B,LRP6,WNT,Secreted Signaling
1408,WNT9B,FZD6_LRP6,WNT,Secreted Signaling
1409,WNT9B,FZD6,WNT,Secreted Signaling
1410,WNT9B,LRP6,WNT,Secreted Signaling
1411,WNT9B,FZD7_LRP6,WNT,Secreted Signaling
1412,WNT9B,FZD7,WNT,Secreted Signaling
1413,WNT9B,LRP6,WNT,Secreted Signaling
1414,WNT9B,FZD8_LRP6,WNT,Secreted Signaling
1415,WNT9B,FZD8,WNT,Secreted Signaling
1416,WNT9B,LRP6,WNT,Secreted Signaling
1417,WNT9B,FZD9_LRP6,WNT,Secreted Signaling
1418,WNT9B,FZD9,WNT,Secreted Signaling
1419,WNT9B,LRP6,WNT,Secreted Signaling
1420,WNT5A,FZD1,ncWNT,Secreted Signaling
1421,WNT5A,FZD10,ncWNT,Secreted Signaling
1422,WNT5A,FZD2,ncWNT,Secreted Signaling
1423,WNT5A,FZD3,ncWNT,Secreted Signaling
1424,WNT5A,FZD4,ncWNT,Secreted Signaling
1425,WNT5A,FZD5,ncWNT,Secreted Signaling
1426,WNT5A,FZD6,ncWNT,Secreted Signaling
1427,WNT5A,FZD7,ncWNT,Secreted Signaling
1428,WNT5A,FZD8,ncWNT,Secreted Signaling
1429,WNT5A,FZD9,ncWNT,Secreted Signaling
1430,WNT5A,MCAM,ncWNT,Secreted Signaling
1431,WNT5B,FZD1,ncWNT,Secreted Signaling
1432,WNT5B,FZD10,ncWNT,Secreted Signaling
1433,WNT5B,FZD2,ncWNT,Secreted Signaling
1434,WNT5B,FZD3,ncWNT,Secreted Signaling
1435,WNT5B,FZD4,ncWNT,Secreted Signaling
1436,WNT5B,FZD5,ncWNT,Secreted Signaling
1437,WNT5B,FZD6,ncWNT,Secreted Signaling
1438,WNT5B,FZD7,ncWNT,Secreted Signaling
1439,WNT5B,FZD8,ncWNT,Secreted Signaling
1440,WNT5B,FZD9,ncWNT,Secreted Signaling
1441,WNT11,FZD1,ncWNT,Secreted Signaling
1442,WNT11,FZD10,ncWNT,Secreted Signaling
1443,WNT11,FZD2,ncWNT,Secreted Signaling
1444,WNT11,FZD3,ncWNT,Secreted Signaling
1445,WNT11,FZD4,ncWNT,Secreted Signaling
1446,WNT11,FZD5,ncWNT,Secreted Signaling
1447,WNT11,FZD6,ncWNT,Secreted Signaling
1448,WNT11,FZD7,ncWNT,Secreted Signaling
1449,WNT11,FZD8,ncWNT,Secreted Signaling
1450,WNT11,FZD9,ncWNT,Secreted Signaling
1451,EGF,EGFR,EGF,Secreted Signaling
1452,EGF,EGFR_ERBB2,EGF,Secreted Signaling
1453,EGF,EGFR,EGF,Secreted Signaling
1454,EGF,ERBB2,EGF,Secreted Signaling
1455,TGFA,EGFR,EGF,Secreted Signaling
1456,TGFA,EGFR_ERBB2,EGF,Secreted Signaling
1457,TGFA,EGFR,EGF,Secreted Signaling
1458,TGFA,ERBB2,EGF,Secreted Signaling
1459,AREG,EGFR,EGF,Secreted Signaling
1460,AREG,EGFR_ERBB2,EGF,Secreted Signaling
1461,AREG,EGFR,EGF,Secreted Signaling
1462,AREG,ERBB2,EGF,Secreted Signaling
1463,BTC,EGFR,EGF,Secreted Signaling
1464,BTC,EGFR_ERBB2,EGF,Secreted Signaling
1465,BTC,EGFR,EGF,Secreted Signaling
1466,BTC,ERBB2,EGF,Secreted Signaling
1467,BTC,ERBB4,EGF,Secreted Signaling
